Unnamed: 0,Animal Name,Description,Classification
0,Boa constrictor ,the boa constrictor boa constrictor is a large heavy bodied species of snake it is a member of the boidae family found in central america south america and some islands in the caribbean a staple of private collections and public displays its color pattern is highly variable yet distinctive ten subspecies are currently recognized a,Reptile
1,Common carp ,the common carp cyprinus carpio is a widespread freshwater fish of eutrophic waters in lakes and large rivers in europe and asia,Fish
2,Python regius ,they are also known as royal pythons or ball pythons,Reptile
3,Brown rat ,the brown rat common rat sewer rat hanover rat norway rat brown norway rat norwegian rat or wharf rat rattus norvegicus is one of the best known and most common rats one of the largest muroids it is a brown or grey rodent with a body up to convert cm in abbr on long and a similar tail length the male weighs on average convert g oz abbr on and the female convert g oz abbr on thought to have originated in northern china this rodent has now spread to all continents except antarctica and is the dominant rat in europe and much of north america making it the most successful mammal on the planet after humans,Land Mammal
4,Black mamba ,no description found,Reptile
5,Nilgai ,the nilgai boselaphus tragocamelus sometimes called nilgau is an antelope and is one of the most commonly seen wild animals of central and northern india and eastern pakistan it is also present in parts of southern nepal the mature males appear ox like and are also known as blue bulls the nilgai is the biggest asian antelope,Land Mammal
6,Black Wildebeest ,the black wildebeest or white tailed gnu connochaetes gnou is one of two wildebeest species the natural populations of this species endemism endemic to the southern part of africa have been almost completely exterminated but the species has been reintroduced widely both in private areas and nature reserves throughout most of lesotho swaziland south africa namibia and kenya it was also introduced outside its natural range wilson amp reeder east full date july the primal herds were exterminated being seen as pests with the secondary advantage of using the hides and meat thus this animal exists primarily in herds derived from captive specimens its preferred habitat types are grassveld savanna and karoo of the central south africa plateau lynch von richter full date july the one other species of genus connochaetes is the blue wildebeest which has a more northerly range,Land Mammal
7,Acanthurus leucosternon ,,Fish
8,Common Gull ,the common gull european and asian subspecies see below or mew gull north american subspecies larus canus is a medium sized gull which breeds in northern asia northern europe and northwestern north america it bird migration migrates further south in winter,Bird
9,Sperm whale ,the sperm whale physeter macrocephalus is a marine mammal species order cetacea a toothed whale odontocete having the largest brain of any animal the name comes from the milky white waxy substance spermaceti found in the animal s head the sperm whale is the only living member of genus physeter the synonym physeter catodon refers to the same species it is one of three extant species in the sperm whale family sperm whale superfamily along with the pygmy sperm whale and dwarf sperm whale a bull can grow to convert m ft lk on long it is the largest living toothed animal the head can take up to one third of the animal s length it has a cosmopolitan distribution across the oceans the species feeds on squid and fish diving as deep as convert km ft which makes it the deepest diving mammal its diet includes giant squid and colossal squid the sperm whale s clicking vocalization is the loudest sound produced by any animal but its functions are uncertain these whales live in groups called pods pods of females and their young live separately from older males the females cooperate to protect and lactation nurse their young females give birth every three to six years and care for the calves for more than a decade historically the sperm whale was also known as the common cachalot cachalot is derived from an archaic french word for tooth over most of the period from the early century until the late century the sperm whale was whaling hunted to obtain spermaceti and other products such as sperm oil and ambergris spermaceti found many important uses such as candles soap cosmetics and machine oil due to its size the sperm whale could sometimes defend itself effectively against whalers in the most famous example a sperm whale attacked and sank the american whaleship essex whaleship essex in as a resu,Aquatic Mammal
10,Eurasian Lynx ,the eurasian lynx lynx lynx is a medium sized felidae cat native to european and siberian forests where it is one of the predators it is also known as the european lynx common lynx the northern lynx and the siberian or russian lynx while its conservation status has been classified as least concern populations of eurasian lynx have been reduced or local extinction extirpated from western europe where it is now being reintroduced,Land Mammal
11,Goldfish,the goldfish carassius auratus auratus is a freshwater fish in the family biology family cyprinidae of order biology order cypriniformes it was one of the earliest fish to be domestication domesticated and is one of the most commonly kept list of freshwater aquarium fish species aquarium fish a relatively small member of the carp family which also includes the koi koi carp and the crucian carp the goldfish is a domesticated version of a less colorful carp carassius auratus native to east asia it was first domesticated in china more than a thousand years ago and several distinct breeds have since been developed goldfish breeds vary greatly in size body shape fin configuration and coloration various combinations of white yellow orange red brown and black are known,Fish
12,Canary,the biology and conservation of wild canids publisher oxford university press location oxford year pages isbn,Bird
13,Gemsbok ,the gemsbok or gemsbuck oryx gazella is a large african antelope of the oryx genus the name is derived from the dutch language dutch name of the male chamois gemsbok a,Land Mammal
14,Wolverine ,the wolverine gulo gulo gulo is latin for glutton also referred to as glutton carcajou skunk bear quickhatch or gulon is the largest land dwelling species of the family mustelidae weasels it is a stocky and muscular carnivore more closely resembling a small bear than other mustelids the wolverine has a reputation for ferocity and strength out of proportion to its size with the documented ability to kill prey many times its size the wolverine can be found primarily in remote reaches of the northern boreal forests and subarctic and alpine tundra of the northern hemisphere with the greatest numbers in alaska canada the nordic countries of europe and throughout western russia and siberia their populations have experienced a steady decline since the century in the face of animal trapping trapping range reduction and habitat fragmentation such that they are essentially absent in the southern end of their european range it is however estimated that large populations remain in north america and north asia,Land Mammal
