,title,abstract,categories
379293,"FoundaBench: Evaluating Chinese Fundamental Knowledge Capabilities of
  Large Language Models","  In the burgeoning field of large language models (LLMs), the assessment of
fundamental knowledge remains a critical challenge, particularly for models
tailored to Chinese language and culture. This paper introduces FoundaBench, a
pioneering benchmark designed to rigorously evaluate the fundamental knowledge
capabilities of Chinese LLMs. FoundaBench encompasses a diverse array of 3354
multiple-choice questions across common sense and K-12 educational subjects,
meticulously curated to reflect the breadth and depth of everyday and academic
knowledge. We present an extensive evaluation of 12 state-of-the-art LLMs using
FoundaBench, employing both traditional assessment methods and our CircularEval
protocol to mitigate potential biases in model responses. Our results highlight
the superior performance of models pre-trained on Chinese corpora, and reveal a
significant disparity between models' reasoning and memory recall capabilities.
The insights gleaned from FoundaBench evaluations set a new standard for
understanding the fundamental knowledge of LLMs, providing a robust framework
for future advancements in the field.
",cs.CL cs.AI
467806,Geometric-Averaged Preference Optimization for Soft Preference Labels,"  Many algorithms for aligning LLMs with human preferences assume that human
preferences are binary and deterministic. However, human preferences can vary
across individuals, and therefore should be represented distributionally. In
this work, we introduce the distributional soft preference labels and improve
Direct Preference Optimization (DPO) with a weighted geometric average of the
LLM output likelihood in the loss function. This approach adjusts the scale of
learning loss based on the soft labels such that the loss would approach zero
when the responses are closer to equally preferred. This simple modification
can be easily applied to any DPO-based methods and mitigate over-optimization
and objective mismatch, which prior works suffer from. Our experiments simulate
the soft preference labels with AI feedback from LLMs and demonstrate that
geometric averaging consistently improves performance on standard benchmarks
for alignment research. In particular, we observe more preferable responses
than binary labels and significant improvements where modestly-confident labels
are in the majority.
",cs.LG cs.AI cs.CL
384396,"QxEAI: Quantum-like evolutionary algorithm for automated probabilistic
  forecasting","  Forecasting, to estimate future events, is crucial for business and
decision-making. This paper proposes QxEAI, a methodology that produces a
probabilistic forecast that utilizes a quantum-like evolutionary algorithm
based on training a quantum-like logic decision tree and a classical value tree
on a small number of related time series. We demonstrate how the application of
our quantum-like evolutionary algorithm to forecasting can overcome the
challenges faced by classical and other machine learning approaches. By using
three real-world datasets (Dow Jones Index, retail sales, gas consumption), we
show how our methodology produces accurate forecasts while requiring little to
none manual work.
",physics.soc-ph cs.AI cs.LG cs.NE econ.GN q-fin.EC
255816,Verbosity Bias in Preference Labeling by Large Language Models,"  In recent years, Large Language Models (LLMs) have witnessed a remarkable
surge in prevalence, altering the landscape of natural language processing and
machine learning. One key factor in improving the performance of LLMs is
alignment with humans achieved with Reinforcement Learning from Human Feedback
(RLHF), as for many LLMs such as GPT-4, Bard, etc. In addition, recent studies
are investigating the replacement of human feedback with feedback from other
LLMs named Reinforcement Learning from AI Feedback (RLAIF). We examine the
biases that come along with evaluating LLMs with other LLMs and take a closer
look into verbosity bias -- a bias where LLMs sometimes prefer more verbose
answers even if they have similar qualities. We see that in our problem
setting, GPT-4 prefers longer answers more than humans. We also propose a
metric to measure this bias.
",cs.CL cs.AI
279231,"Quantifying Impairment and Disease Severity Using AI Models Trained on
  Healthy Subjects","  Automatic assessment of impairment and disease severity is a key challenge in
data-driven medicine. We propose a novel framework to address this challenge,
which leverages AI models trained exclusively on healthy individuals. The
COnfidence-Based chaRacterization of Anomalies (COBRA) score exploits the
decrease in confidence of these models when presented with impaired or diseased
patients to quantify their deviation from the healthy population. We applied
the COBRA score to address a key limitation of current clinical evaluation of
upper-body impairment in stroke patients. The gold-standard Fugl-Meyer
Assessment (FMA) requires in-person administration by a trained assessor for
30-45 minutes, which restricts monitoring frequency and precludes physicians
from adapting rehabilitation protocols to the progress of each patient. The
COBRA score, computed automatically in under one minute, is shown to be
strongly correlated with the FMA on an independent test cohort for two
different data modalities: wearable sensors ($\rho = 0.845$, 95% CI
[0.743,0.908]) and video ($\rho = 0.746$, 95% C.I [0.594, 0.847]). To
demonstrate the generalizability of the approach to other conditions, the COBRA
score was also applied to quantify severity of knee osteoarthritis from
magnetic-resonance imaging scans, again achieving significant correlation with
an independent clinical assessment ($\rho = 0.644$, 95% C.I [0.585,0.696]).
",cs.LG cs.AI q-bio.QM
507146,"AutoPT: How Far Are We from the End2End Automated Web Penetration
  Testing?","  Penetration testing is essential to ensure Web security, which can detect and
fix vulnerabilities in advance, and prevent data leakage and serious
consequences. The powerful inference capabilities of large language models
(LLMs) have made significant progress in various fields, and the development
potential of LLM-based agents can revolutionize the cybersecurity penetration
testing industry. In this work, we establish a comprehensive end-to-end
penetration testing benchmark using a real-world penetration testing
environment to explore the capabilities of LLM-based agents in this domain. Our
results reveal that the agents are familiar with the framework of penetration
testing tasks, but they still face limitations in generating accurate commands
and executing complete processes. Accordingly, we summarize the current
challenges, including the difficulty of maintaining the entire message history
and the tendency for the agent to become stuck.
  Based on the above insights, we propose a Penetration testing State Machine
(PSM) that utilizes the Finite State Machine (FSM) methodology to address these
limitations. Then, we introduce AutoPT, an automated penetration testing agent
based on the principle of PSM driven by LLMs, which utilizes the inherent
inference ability of LLM and the constraint framework of state machines. Our
evaluation results show that AutoPT outperforms the baseline framework ReAct on
the GPT-4o mini model and improves the task completion rate from 22% to 41% on
the benchmark target. Compared with the baseline framework and manual work,
AutoPT also reduces time and economic costs further. Hence, our AutoPT has
facilitated the development of automated penetration testing and significantly
impacted both academia and industry.
",cs.CR cs.AI
404373,"D-FaST: Cognitive Signal Decoding with Disentangled
  Frequency-Spatial-Temporal Attention","  Cognitive Language Processing (CLP), situated at the intersection of Natural
Language Processing (NLP) and cognitive science, plays a progressively pivotal
role in the domains of artificial intelligence, cognitive intelligence, and
brain science. Among the essential areas of investigation in CLP, Cognitive
Signal Decoding (CSD) has made remarkable achievements, yet there still exist
challenges related to insufficient global dynamic representation capability and
deficiencies in multi-domain feature integration. In this paper, we introduce a
novel paradigm for CLP referred to as Disentangled Frequency-Spatial-Temporal
Attention(D-FaST). Specifically, we present an novel cognitive signal decoder
that operates on disentangled frequency-space-time domain attention. This
decoder encompasses three key components: frequency domain feature extraction
employing multi-view attention, spatial domain feature extraction utilizing
dynamic brain connection graph attention, and temporal feature extraction
relying on local time sliding window attention. These components are integrated
within a novel disentangled framework. Additionally, to encourage advancements
in this field, we have created a new CLP dataset, MNRED. Subsequently, we
conducted an extensive series of experiments, evaluating D-FaST's performance
on MNRED, as well as on publicly available datasets including ZuCo, BCIC IV-2A,
and BCIC IV-2B. Our experimental results demonstrate that D-FaST outperforms
existing methods significantly on both our datasets and traditional CSD
datasets including establishing a state-of-the-art accuracy score 78.72% on
MNRED, pushing the accuracy score on ZuCo to 78.35%, accuracy score on BCIC
IV-2A to 74.85% and accuracy score on BCIC IV-2B to 76.81%.
",cs.LG cs.AI
381762,"AB-Training: A Communication-Efficient Approach for Distributed Low-Rank
  Learning","  Communication bottlenecks severely hinder the scalability of distributed
neural network training, particularly in high-performance computing (HPC)
environments. We introduce AB-training, a novel data-parallel method that
leverages low-rank representations and independent training groups to
significantly reduce communication overhead. Our experiments demonstrate an
average reduction in network traffic of approximately 70.31\% across various
scaling scenarios, increasing the training potential of
communication-constrained systems and accelerating convergence at scale.
AB-training also exhibits a pronounced regularization effect at smaller scales,
leading to improved generalization while maintaining or even reducing training
time. We achieve a remarkable 44.14 : 1 compression ratio on VGG16 trained on
CIFAR-10 with minimal accuracy loss, and outperform traditional data parallel
training by 1.55\% on ResNet-50 trained on ImageNet-2012. While AB-training is
promising, our findings also reveal that large batch effects persist even in
low-rank regimes, underscoring the need for further research into optimized
update mechanisms for massively distributed training.
",cs.LG cs.AI cs.DC
140854,Elastic Weight Removal for Faithful and Abstractive Dialogue Generation,"  Ideally, dialogue systems should generate responses that are faithful to the
knowledge contained in relevant documents. However, many models generate
hallucinated responses instead that contradict it or contain unverifiable
information. To mitigate such undesirable behaviour, it has been proposed to
fine-tune a `negative expert' on negative examples and subtract its parameters
from those of a pre-trained model. However, intuitively, this does not take
into account that some parameters are more responsible than others in causing
hallucinations. Thus, we propose to weigh their individual importance via (an
approximation of) the Fisher Information matrix, which measures the uncertainty
of their estimate. We call this method Elastic Weight Removal (EWR). We
evaluate our method -- using different variants of Flan-T5 as a backbone
language model -- on multiple datasets for information-seeking dialogue
generation and compare our method with state-of-the-art techniques for
faithfulness, such as CTRL, Quark, DExperts, and Noisy Channel reranking.
Extensive automatic and human evaluation shows that EWR systematically
increases faithfulness at minor costs in terms of other metrics. However, we
notice that only discouraging hallucinations may increase extractiveness, i.e.
shallow copy-pasting of document spans, which can be undesirable. Hence, as a
second main contribution, we show that our method can be extended to
simultaneously discourage hallucinations and extractive responses. We publicly
release the code for reproducing EWR and all baselines.
",cs.CL cs.AI cs.LG
485442,"Towards a Deeper Understanding of Transformer for Residential
  Non-intrusive Load Monitoring","  Transformer models have demonstrated impressive performance in Non-Intrusive
Load Monitoring (NILM) applications in recent years. Despite their success,
existing studies have not thoroughly examined the impact of various
hyper-parameters on model performance, which is crucial for advancing
high-performing transformer models. In this work, a comprehensive series of
experiments have been conducted to analyze the influence of these
hyper-parameters in the context of residential NILM. This study delves into the
effects of the number of hidden dimensions in the attention layer, the number
of attention layers, the number of attention heads, and the dropout ratio on
transformer performance. Furthermore, the role of the masking ratio has
explored in BERT-style transformer training, providing a detailed investigation
into its impact on NILM tasks. Based on these experiments, the optimal
hyper-parameters have been selected and used them to train a transformer model,
which surpasses the performance of existing models. The experimental findings
offer valuable insights and guidelines for optimizing transformer
architectures, aiming to enhance their effectiveness and efficiency in NILM
applications. It is expected that this work will serve as a foundation for
future research and development of more robust and capable transformer models
for NILM.
",eess.SY cs.AI cs.SY
