,title,abstract,categories
50112,ReLU Fields: The Little Non-linearity That Could,"  In many recent works, multi-layer perceptions (MLPs) have been shown to be
suitable for modeling complex spatially-varying functions including images and
3D scenes. Although the MLPs are able to represent complex scenes with
unprecedented quality and memory footprint, this expressive power of the MLPs,
however, comes at the cost of long training and inference times. On the other
hand, bilinear/trilinear interpolation on regular grid based representations
can give fast training and inference times, but cannot match the quality of
MLPs without requiring significant additional memory. Hence, in this work, we
investigate what is the smallest change to grid-based representations that
allows for retaining the high fidelity result of MLPs while enabling fast
reconstruction and rendering times. We introduce a surprisingly simple change
that achieves this task -- simply allowing a fixed non-linearity (ReLU) on
interpolated grid values. When combined with coarse to-fine optimization, we
show that such an approach becomes competitive with the state-of-the-art. We
report results on radiance fields, and occupancy fields, and compare against
multiple existing alternatives. Code and data for the paper are available at
https://geometry.cs.ucl.ac.uk/projects/2022/relu_fields.
",cs.CV cs.GR
500407,"VoxelKeypointFusion: Generalizable Multi-View Multi-Person Pose
  Estimation","  In the rapidly evolving field of computer vision, the task of accurately
estimating the poses of multiple individuals from various viewpoints presents a
formidable challenge, especially if the estimations should be reliable as well.
This work presents an extensive evaluation of the generalization capabilities
of multi-view multi-person pose estimators to unseen datasets and presents a
new algorithm with strong performance in this task. It also studies the
improvements by additionally using depth information. Since the new approach
can not only generalize well to unseen datasets, but also to different
keypoints, the first multi-view multi-person whole-body estimator is presented.
To support further research on those topics, all of the work is publicly
accessible.
",cs.CV cs.HC
341364,Point Cloud Mamba: Point Cloud Learning via State Space Model,"  Recently, state space models have exhibited strong global modeling
capabilities and linear computational complexity in contrast to transformers.
This research focuses on applying such architecture to more efficiently and
effectively model point cloud data globally with linear computational
complexity. In particular, for the first time, we demonstrate that Mamba-based
point cloud methods can outperform previous methods based on transformer or
multi-layer perceptrons (MLPs). To enable Mamba to process 3-D point cloud data
more effectively, we propose a novel Consistent Traverse Serialization method
to convert point clouds into 1-D point sequences while ensuring that
neighboring points in the sequence are also spatially adjacent. Consistent
Traverse Serialization yields six variants by permuting the order of
\textit{x}, \textit{y}, and \textit{z} coordinates, and the synergistic use of
these variants aids Mamba in comprehensively observing point cloud data.
Furthermore, to assist Mamba in handling point sequences with different orders
more effectively, we introduce point prompts to inform Mamba of the sequence's
arrangement rules. Finally, we propose positional encoding based on spatial
coordinate mapping to inject positional information into point cloud sequences
more effectively. Point Cloud Mamba surpasses the state-of-the-art (SOTA)
point-based method PointNeXt and achieves new SOTA performance on the
ScanObjectNN, ModelNet40, ShapeNetPart, and S3DIS datasets. It is worth
mentioning that when using a more powerful local feature extraction module, our
PCM achieves 79.6 mIoU on S3DIS, significantly surpassing the previous SOTA
models, DeLA and PTv3, by 5.5 mIoU and 4.9 mIoU, respectively.
",cs.CV
243713,"NeuRBF: A Neural Fields Representation with Adaptive Radial Basis
  Functions","  We present a novel type of neural fields that uses general radial bases for
signal representation. State-of-the-art neural fields typically rely on
grid-based representations for storing local neural features and N-dimensional
linear kernels for interpolating features at continuous query points. The
spatial positions of their neural features are fixed on grid nodes and cannot
well adapt to target signals. Our method instead builds upon general radial
bases with flexible kernel position and shape, which have higher spatial
adaptivity and can more closely fit target signals. To further improve the
channel-wise capacity of radial basis functions, we propose to compose them
with multi-frequency sinusoid functions. This technique extends a radial basis
to multiple Fourier radial bases of different frequency bands without requiring
extra parameters, facilitating the representation of details. Moreover, by
marrying adaptive radial bases with grid-based ones, our hybrid combination
inherits both adaptivity and interpolation smoothness. We carefully designed
weighting schemes to let radial bases adapt to different types of signals
effectively. Our experiments on 2D image and 3D signed distance field
representation demonstrate the higher accuracy and compactness of our method
than prior arts. When applied to neural radiance field reconstruction, our
method achieves state-of-the-art rendering quality, with small model size and
comparable training speed.
",cs.CV cs.GR cs.LG
448031,"MultiViPerFrOG: A Globally Optimized Multi-Viewpoint Perception
  Framework for Camera Motion and Tissue Deformation","  Reconstructing the 3D shape of a deformable environment from the information
captured by a moving depth camera is highly relevant to surgery. The underlying
challenge is the fact that simultaneously estimating camera motion and tissue
deformation in a fully deformable scene is an ill-posed problem, especially
from a single arbitrarily moving viewpoint. Current solutions are often
organ-specific and lack the robustness required to handle large deformations.
Here we propose a multi-viewpoint global optimization framework that can
flexibly integrate the output of low-level perception modules (data
association, depth, and relative scene flow) with kinematic and scene-modeling
priors to jointly estimate multiple camera motions and absolute scene flow. We
use simulated noisy data to show three practical examples that successfully
constrain the convergence to a unique solution. Overall, our method shows
robustness to combined noisy input measures and can process hundreds of points
in a few milliseconds. MultiViPerFrOG builds a generalized learning-free
scaffolding for spatio-temporal encoding that can unlock advanced surgical
scene representations and will facilitate the development of the
computer-assisted-surgery technologies of the future.
",cs.CV
463997,Benchmarking Spurious Bias in Few-Shot Image Classifiers,"  Few-shot image classifiers are designed to recognize and classify new data
with minimal supervision and limited data but often show reliance on spurious
correlations between classes and spurious attributes, known as spurious bias.
Spurious correlations commonly hold in certain samples and few-shot classifiers
can suffer from spurious bias induced from them. There is an absence of an
automatic benchmarking system to assess the robustness of few-shot classifiers
against spurious bias. In this paper, we propose a systematic and rigorous
benchmark framework, termed FewSTAB, to fairly demonstrate and quantify varied
degrees of robustness of few-shot classifiers to spurious bias. FewSTAB creates
few-shot evaluation tasks with biased attributes so that using them for
predictions can demonstrate poor performance. To construct these tasks, we
propose attribute-based sample selection strategies based on a pre-trained
vision-language model, eliminating the need for manual dataset curation. This
allows FewSTAB to automatically benchmark spurious bias using any existing test
data. FewSTAB offers evaluation results in a new dimension along with a new
design guideline for building robust classifiers. Moreover, it can benchmark
spurious bias in varied degrees and enable designs for varied degrees of
robustness. Its effectiveness is demonstrated through experiments on ten
few-shot learning methods across three datasets. We hope our framework can
inspire new designs of robust few-shot classifiers. Our code is available at
https://github.com/gtzheng/FewSTAB.
",cs.CV cs.LG
319596,IEEE BigData 2023 Keystroke Verification Challenge (KVC),"  This paper describes the results of the IEEE BigData 2023 Keystroke
Verification Challenge (KVC), that considers the biometric verification
performance of Keystroke Dynamics (KD), captured as tweet-long sequences of
variable transcript text from over 185,000 subjects. The data are obtained from
two of the largest public databases of KD up to date, the Aalto Desktop and
Mobile Keystroke Databases, guaranteeing a minimum amount of data per subject,
age and gender annotations, absence of corrupted data, and avoiding excessively
unbalanced subject distributions with respect to the considered demographic
attributes. Several neural architectures were proposed by the participants,
leading to global Equal Error Rates (EERs) as low as 3.33% and 3.61% achieved
by the best team respectively in the desktop and mobile scenario, outperforming
the current state of the art biometric verification performance for KD. Hosted
on CodaLab, the KVC will be made ongoing to represent a useful tool for the
research community to compare different approaches under the same experimental
conditions and to deepen the knowledge of the field.
",cs.CV
64076,Bidirectional Contrastive Split Learning for Visual Question Answering,"  Visual Question Answering (VQA) based on multi-modal data facilitates
real-life applications such as home robots and medical diagnoses. One
significant challenge is to devise a robust decentralized learning framework
for various client models where centralized data collection is refrained due to
confidentiality concerns. This work aims to tackle privacy-preserving VQA by
decoupling a multi-modal model into representation modules and a contrastive
module and leveraging inter-module gradients sharing and inter-client weight
sharing. To this end, we propose Bidirectional Contrastive Split Learning
(BiCSL) to train a global multi-modal model on the entire data distribution of
decentralized clients. We employ the contrastive loss that enables a more
efficient self-supervised learning of decentralized modules. Comprehensive
experiments are conducted on the VQA-v2 dataset based on five SOTA VQA models,
demonstrating the effectiveness of the proposed method. Furthermore, we inspect
BiCSL's robustness against a dual-key backdoor attack on VQA. Consequently,
BiCSL shows much better robustness to the multi-modal adversarial attack
compared to the centralized learning method, which provides a promising
approach to decentralized multi-modal learning.
",cs.CV cs.LG
479371,Amodal Instance Segmentation with Diffusion Shape Prior Estimation,"  Amodal Instance Segmentation (AIS) presents an intriguing challenge,
including the segmentation prediction of both visible and occluded parts of
objects within images. Previous methods have often relied on shape prior
information gleaned from training data to enhance amodal segmentation. However,
these approaches are susceptible to overfitting and disregard object category
details. Recent advancements highlight the potential of conditioned diffusion
models, pretrained on extensive datasets, to generate images from latent space.
Drawing inspiration from this, we propose AISDiff with a Diffusion Shape Prior
Estimation (DiffSP) module. AISDiff begins with the prediction of the visible
segmentation mask and object category, alongside occlusion-aware processing
through the prediction of occluding masks. Subsequently, these elements are
inputted into our DiffSP module to infer the shape prior of the object. DiffSP
utilizes conditioned diffusion models pretrained on extensive datasets to
extract rich visual features for shape prior estimation. Additionally, we
introduce the Shape Prior Amodal Predictor, which utilizes attention-based
feature maps from the shape prior to refine amodal segmentation. Experiments
across various AIS benchmarks demonstrate the effectiveness of our AISDiff.
",cs.CV
411559,OpenCapBench: A Benchmark to Bridge Pose Estimation and Biomechanics,"  Pose estimation has promised to impact healthcare by enabling more practical
methods to quantify nuances of human movement and biomechanics. However,
despite the inherent connection between pose estimation and biomechanics, these
disciplines have largely remained disparate. For example, most current pose
estimation benchmarks use metrics such as Mean Per Joint Position Error,
Percentage of Correct Keypoints, or mean Average Precision to assess
performance, without quantifying kinematic and physiological correctness - key
aspects for biomechanics. To alleviate this challenge, we develop OpenCapBench
to offer an easy-to-use unified benchmark to assess common tasks in human pose
estimation, evaluated under physiological constraints. OpenCapBench computes
consistent kinematic metrics through joints angles provided by an open-source
musculoskeletal modeling software (OpenSim). Through OpenCapBench, we
demonstrate that current pose estimation models use keypoints that are too
sparse for accurate biomechanics analysis. To mitigate this challenge, we
introduce SynthPose, a new approach that enables finetuning of pre-trained 2D
human pose models to predict an arbitrarily denser set of keypoints for
accurate kinematic analysis through the use of synthetic data. Incorporating
such finetuning on synthetic data of prior models leads to twofold reduced
joint angle errors. Moreover, OpenCapBench allows users to benchmark their own
developed models on our clinically relevant cohort. Overall, OpenCapBench
bridges the computer vision and biomechanics communities, aiming to drive
simultaneous advances in both areas.
",cs.CV
