,cell_label_1,cell_label_2,weight,level
0,0_0_3,1_1_8,1,0
1,0_0_6,1_6_9,1,0
2,0_1_1,1_2_6,1,0
3,0_1_4,1_4_1,1,0
4,0_1_9,1_0_8,1,0
5,0_2_5,1_5_0,1,0
6,0_3_8,1_0_6,1,0
7,0_4_2,1_6_8,1,0
8,0_4_9,1_3_9,1,0
9,0_5_2,1_3_9,1,0
10,0_5_4,1_4_9,1,0
11,0_6_5,1_0_8,1,0
12,0_6_8,1_2_5,1,0
13,0_6_9,1_9_1,1,0
14,0_7_0,1_6_3,1,0
15,0_7_1,1_1_7,1,0
16,0_8_8,1_1_7,1,0
17,0_9_2,1_4_8,1,0
18,0_9_4,1_7_5,1,0
19,0_9_5,1_4_9,1,0
0,1_0_6,2_8_7,1,1
1,1_0_8,2_4_7,1,1
2,1_0_8,2_8_9,1,1
3,1_1_7,2_8_8,1,1
4,1_1_7,2_8_9,1,1
5,1_1_8,2_3_7,1,1
6,1_2_5,2_9_6,1,1
7,1_2_6,2_6_6,1,1
8,1_3_9,2_0_8,1,1
9,1_3_9,2_5_9,1,1
10,1_4_1,2_4_2,1,1
11,1_4_8,2_0_4,1,1
12,1_4_9,2_1_8,1,1
13,1_4_9,2_6_9,1,1
14,1_5_0,2_3_0,1,1
15,1_6_3,2_2_3,1,1
16,1_6_8,2_3_8,1,1
17,1_6_9,2_4_9,1,1
18,1_7_5,2_0_3,1,1
19,1_9_1,2_7_3,1,1
0,2_0_3,3_8_0,1,2
1,2_0_4,3_0_4,1,2
2,2_0_8,3_7_8,1,2
3,2_1_8,3_6_8,1,2
4,2_2_3,3_9_1,1,2
5,2_3_0,3_7_9,1,2
6,2_3_7,3_0_1,1,2
7,2_3_8,3_0_2,1,2
8,2_4_2,3_7_1,1,2
9,2_4_7,3_0_2,1,2
10,2_4_9,3_1_1,1,2
11,2_5_9,3_1_3,1,2
12,2_6_6,3_1_3,1,2
13,2_6_9,3_9_4,1,2
14,2_7_3,3_8_1,1,2
15,2_8_7,3_3_2,1,2
16,2_8_8,3_0_2,1,2
17,2_8_9,3_0_3,1,2
18,2_8_9,3_2_0,1,2
19,2_9_6,3_7_2,1,2
0,3_0_1,4_2_9,1,3
1,3_0_2,4_2_9,2,3
2,3_0_2,4_3_9,1,3
3,3_0_3,4_2_8,1,3
4,3_0_4,4_0_1,1,3
5,3_1_1,4_1_9,1,3
6,3_1_3,4_2_8,1,3
7,3_1_3,4_2_9,1,3
8,3_2_0,4_0_9,1,3
9,3_3_2,4_4_9,1,3
10,3_6_8,4_3_0,1,3
11,3_7_1,4_6_7,1,3
12,3_7_2,4_4_8,1,3
13,3_7_8,4_2_0,1,3
14,3_7_9,4_2_0,1,3
15,3_8_0,4_3_7,1,3
16,3_8_1,4_7_7,1,3
17,3_9_1,4_5_6,1,3
18,3_9_4,4_9_8,1,3
0,4_0_1,5_9_8,1,4
1,4_0_9,5_8_9,1,4
2,4_1_9,5_9_8,1,4
3,4_2_0,5_0_0,1,4
4,4_2_0,5_1_0,1,4
5,4_2_8,5_8_9,1,4
6,4_2_8,5_9_8,1,4
7,4_2_9,5_8_8,2,4
8,4_2_9,5_8_9,1,4
9,4_2_9,5_9_9,1,4
10,4_3_0,5_0_0,1,4
11,4_3_7,5_6_9,1,4
12,4_3_9,5_9_9,1,4
13,4_4_8,5_7_8,1,4
14,4_4_9,5_7_8,1,4
15,4_5_6,5_6_9,1,4
16,4_6_7,5_7_9,1,4
17,4_7_7,5_7_9,1,4
18,4_9_8,5_5_8,1,4
0,5_0_0,6_0_1,1,5
1,5_0_0,6_1_2,1,5
2,5_1_0,6_0_3,1,5
3,5_5_8,6_3_4,1,5
4,5_6_9,6_8_6,1,5
5,5_6_9,6_8_7,1,5
6,5_7_8,6_8_8,1,5
7,5_7_8,6_9_1,1,5
8,5_7_9,6_7_4,1,5
9,5_7_9,6_8_6,1,5
10,5_8_8,6_9_1,1,5
11,5_8_8,6_9_2,1,5
12,5_8_9,6_9_4,2,5
13,5_8_9,6_9_5,1,5
14,5_9_8,6_7_1,1,5
15,5_9_8,6_8_1,1,5
16,5_9_8,6_8_2,1,5
17,5_9_9,6_8_1,1,5
18,5_9_9,6_9_2,1,5
